label,n_observations,run,shared_all_local_log_likelihood,local_all_local_log_likelihood,invalid_shared_k,valid_shared_all_local_k,local_k,invalid_shared_bic,local_bic,invalid_shared_bic_weight
INVALID: all-local optimization with shared-model penalty,5,35,3.1048684120178223,1.8914510011672974,6,10,10,3.4468906505689567,12.311477122006409,0.9882524472441925
INVALID: all-local optimization with shared-model penalty,5,36,2.7739546298980713,1.0287941694259644,6,10,10,4.108718214808459,14.036790785489075,0.9930637686435348
INVALID: all-local optimization with shared-model penalty,5,37,2.6983489990234375,1.10887610912323,6,10,10,4.259929476557726,13.876626906094543,0.9919047427744779
INVALID: all-local optimization with shared-model penalty,5,38,3.48478364944458,1.8437749147415161,6,10,10,2.687060175715441,12.406829294857971,0.9923082430586627
INVALID: all-local optimization with shared-model penalty,5,39,2.383434295654297,0.6119235754013062,6,10,10,4.8897588832960075,14.870531973538391,0.9932429342459203
INVALID: all-local optimization with shared-model penalty,5,40,4.7456135749816895,3.343475341796875,6,10,10,0.16540032464122234,9.407428440747253,0.9902531268010515
INVALID: all-local optimization with shared-model penalty,5,41,4.30149507522583,2.4914379119873047,6,10,10,1.053637324152941,11.111503300366394,0.9934967774546624
INVALID: all-local optimization with shared-model penalty,5,42,3.748690128326416,2.1906862258911133,6,10,10,2.159247217951769,11.713006672558777,0.9916481039650329
INVALID: all-local optimization with shared-model penalty,5,43,5.214958667755127,4.084564208984375,6,10,10,-0.7732898609056527,7.925250706372253,0.987248467452477
INVALID: all-local optimization with shared-model penalty,5,44,0.6458512544631958,-0.7399805784225464,6,10,10,8.36492496567821,17.574340281186096,0.99009447472701
INVALID: all-local optimization with shared-model penalty,5,45,2.8649673461914062,0.9943267107009888,6,10,10,3.9266927822217887,14.105725702939026,0.9938767272189941
INVALID: all-local optimization with shared-model penalty,5,46,4.361492156982422,3.2038841247558594,6,10,10,0.9336431606397575,9.686610874829285,0.9875865534422227
INVALID: all-local optimization with shared-model penalty,5,47,4.958658218383789,3.730421543121338,6,10,10,-0.2606889621629769,8.633536038098327,0.9884232532025578
INVALID: all-local optimization with shared-model penalty,5,48,4.837409019470215,3.4996204376220703,6,10,10,-0.01819056433582844,9.095138249096863,0.9896120283051655
INVALID: all-local optimization with shared-model penalty,5,49,3.9451966285705566,2.906144618988037,6,10,10,1.766234217463488,10.282089886364929,0.986045876624202
INVALID: all-local optimization with shared-model penalty,5,50,0.5691647529602051,-0.6449410915374756,6,10,10,8.518297968684191,17.384261307415954,0.988260436961604
INVALID: all-local optimization with shared-model penalty,5,51,5.014544486999512,2.7927422523498535,6,10,10,-0.3724614993944222,10.508894619641296,0.9956821825558549
INVALID: all-local optimization with shared-model penalty,5,52,4.484983921051025,3.6374478340148926,6,10,10,0.6866596325025505,8.819483456311218,0.9831500143478262
INVALID: all-local optimization with shared-model penalty,5,53,4.516870021820068,2.7292213439941406,6,10,10,0.6228874309644645,10.635936436352722,0.9933503850274632
INVALID: all-local optimization with shared-model penalty,5,54,3.1273794174194336,1.5714167356491089,6,10,10,3.401868639765734,12.951545653042785,0.9916311813088392
INVALID: all-local optimization with shared-model penalty,5,55,4.454521656036377,2.5647902488708496,6,10,10,0.7475841625318473,10.964798626599304,0.993991820769524
