method,sde,time_grid,timesteps,theta_index,theta_true,theta_mode,analytic_log_prob,method_log_prob,absolute_log_prob_error,median_runtime_seconds
Euler PF-ODE + KDE,VESDE,log_sigma,10,7,-1.9966652,-2.1117482,0.4312535718092801,0.5611280781356633,0.12987450632638325,0.00176249120850116
Euler PF-ODE + KDE,VESDE,log_sigma,10,8,-2.7305539,-2.3484304,0.4312535718092801,0.580768164748742,0.14951459293946195,0.00176249120850116
Euler PF-ODE + KDE,VESDE,log_sigma,10,9,-2.0067704,-2.2441282,0.4312535718092801,0.5720696921212889,0.1408161203120088,0.00176249120850116
DPM-2 + KDE,VESDE,log_sigma,50,0,-2.0590172,-2.1671157,0.4312535718092801,0.4367222701190871,0.0054686983098070074,0.01826319550164044
DPM-2 + KDE,VESDE,log_sigma,50,1,-2.24755,-2.1222744,0.4312535718092801,0.4003738104737393,0.030879761335540767,0.01826319550164044
DPM-2 + KDE,VESDE,log_sigma,50,2,-2.2733066,-2.4073713,0.4312535718092801,0.37949911707414274,0.051754454735137345,0.01826319550164044
DPM-2 + KDE,VESDE,log_sigma,50,3,-2.4841154,-2.3091683,0.4312535718092801,0.4169907063918514,0.014262865417428716,0.01826319550164044
DPM-2 + KDE,VESDE,log_sigma,50,4,-2.2861452,-2.2408478,0.4312535718092801,0.4089004261166711,0.02235314569260899,0.01826319550164044
DPM-2 + KDE,VESDE,log_sigma,50,5,-2.7104778,-2.419225,0.4312535718092801,0.3846333340390172,0.04662023777026286,0.01826319550164044
DPM-2 + KDE,VESDE,log_sigma,50,6,-2.1987514,-2.1505857,0.4312535718092801,0.42869772119546923,0.0025558506138108616,0.01826319550164044
DPM-2 + KDE,VESDE,log_sigma,50,7,-1.9966652,-2.1117482,0.4312535718092801,0.41985907099953773,0.011394500809742358,0.01826319550164044
DPM-2 + KDE,VESDE,log_sigma,50,8,-2.7305539,-2.3484304,0.4312535718092801,0.39507464881706056,0.03617892299221953,0.01826319550164044
DPM-2 + KDE,VESDE,log_sigma,50,9,-2.0067704,-2.2441282,0.4312535718092801,0.35761296204695603,0.07364060976232406,0.01826319550164044
Heun + exact PF-ODE likelihood,VESDE,log_sigma,50,0,-2.0590172,-2.1671157,0.4312535718092801,0.4365054962778476,0.005251924468567537,0.002896984596736729
Heun + exact PF-ODE likelihood,VESDE,log_sigma,50,1,-2.24755,-2.1222744,0.4312535718092801,0.4365054962778476,0.005251924468567537,0.002896984596736729
Heun + exact PF-ODE likelihood,VESDE,log_sigma,50,2,-2.2733066,-2.4073713,0.4312535718092801,0.4365054962778476,0.005251924468567537,0.002896984596736729
Heun + exact PF-ODE likelihood,VESDE,log_sigma,50,3,-2.4841154,-2.3091683,0.4312535718092801,0.4365054962778476,0.005251924468567537,0.002896984596736729
Heun + exact PF-ODE likelihood,VESDE,log_sigma,50,4,-2.2861452,-2.2408478,0.4312535718092801,0.4365054962778476,0.005251924468567537,0.002896984596736729
Heun + exact PF-ODE likelihood,VESDE,log_sigma,50,5,-2.7104778,-2.419225,0.4312535718092801,0.4365054962778476,0.005251924468567537,0.002896984596736729
Heun + exact PF-ODE likelihood,VESDE,log_sigma,50,6,-2.1987514,-2.1505857,0.4312535718092801,0.4365054962778476,0.005251924468567537,0.002896984596736729
Heun + exact PF-ODE likelihood,VESDE,log_sigma,50,7,-1.9966652,-2.1117482,0.4312535718092801,0.4365054962778476,0.005251924468567537,0.002896984596736729
Heun + exact PF-ODE likelihood,VESDE,log_sigma,50,8,-2.7305539,-2.3484304,0.4312535718092801,0.4365054962778476,0.005251924468567537,0.002896984596736729
Heun + exact PF-ODE likelihood,VESDE,log_sigma,50,9,-2.0067704,-2.2441282,0.4312535718092801,0.4365054962778476,0.005251924468567537,0.002896984596736729
Euler PF-ODE + KDE,VESDE,log_sigma,50,0,-2.0590172,-2.1671157,0.4312535718092801,0.4441722214837504,0.012918649674470317,0.006840027205180376
