true_model,run_index,selected_model,correct,probability_percent_Logistic Prey,probability_percent_Satiated Predator,probability_percent_Rosenzweig-MacArthur,probability_percent_Lotka-Volterra,aic_Logistic Prey,aic_Satiated Predator,aic_Rosenzweig-MacArthur,aic_Lotka-Volterra
Lotka-Volterra,4,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-680.9048461914062,-840.7123413085938,-3201.003173828125,-355.2593994140625
Lotka-Volterra,5,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-434.5775146484375,-442.3131103515625,-2659.55517578125,-234.05642700195312
Lotka-Volterra,6,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-459.7660217285156,-488.0789794921875,-2445.6748046875,-335.31402587890625
Lotka-Volterra,7,Lotka-Volterra,True,1.444141544231829e-14,2.5301255299312216e-12,0.0,100.0,-429.4775390625,-424.3116149902344,-2624.994873046875,-393.0036926269531
Lotka-Volterra,8,Satiated Predator,False,0.0,99.91708993911743,0.0,0.08291846024803817,-469.7653503417969,-357.04498291015625,-2060.943359375,-364.13922119140625
Lotka-Volterra,9,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-699.2281494140625,-703.944091796875,-2953.968505859375,-563.8600463867188
Lotka-Volterra,10,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-454.3358154296875,-566.5546264648438,-2612.6162109375,-180.4495086669922
Lotka-Volterra,11,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-524.213623046875,-357.5209045410156,-2464.5205078125,-216.3661651611328
Lotka-Volterra,12,Logistic Prey,False,100.0,2.2311307622863827e-22,0.0,1.3320623934670681e-12,-648.6226196289062,-703.0821533203125,-3108.07177734375,-680.5720825195312
Lotka-Volterra,13,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-323.8619079589844,-489.7440490722656,-1994.274169921875,-139.8731689453125
Lotka-Volterra,14,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-236.32479858398438,-373.16790771484375,-1367.727294921875,5.874454498291016
Lotka-Volterra,15,Lotka-Volterra,True,0.0,0.0,0.0,100.0,-234.2986297607422,-131.89720153808594,-1304.953369140625,43.583396911621094
Lotka-Volterra,16,Satiated Predator,False,0.0,100.0,0.0,0.0,-677.12451171875,-383.9764404296875,-3007.004150390625,-630.690185546875
