correction,inference_time_grid,label,mean_error_sigma,method,n_observations,repeat,runtime_seconds,sample_mean,sample_std,std_ratio,training_time_sampling,variant
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.030473776161670685,langevin,5,1,10.826918288017623,-0.09342121332883835,0.5261163711547852,1.2887165546417236,mixture,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.07143708318471909,dpm,10,1,9.001204509986565,0.09807527810335159,0.3518736660480499,1.1670329570770264,uniform,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.053056489676237106,dpm,10,1,9.03435173095204,0.10361723601818085,0.3500330150127411,1.1609281301498413,uniform,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.07335866987705231,langevin,10,1,20.82264527096413,0.097495898604393,0.362143337726593,1.2010935544967651,uniform,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.09095753729343414,langevin,10,1,20.85477539105341,0.09218963980674744,0.35745054483413696,1.185529351234436,uniform,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.053141865879297256,langevin,10,1,20.66123843099922,0.10359149426221848,0.2585045397281647,0.8573625683784485,uniform,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.03694061562418938,langevin,10,1,20.645033761044033,0.10847635567188263,0.3629429042339325,1.2037453651428223,uniform,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.15137618780136108,dpm,10,1,9.039609367959201,0.16525600850582123,0.3237113952636719,1.0736292600631714,log_sigma,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.1683638095855713,dpm,10,1,9.045813012984581,0.1703779697418213,0.32105758786201477,1.064827561378479,log_sigma,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.1811830699443817,langevin,10,1,20.773381915991195,0.17424312233924866,0.3298656940460205,1.0940407514572144,log_sigma,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.1042066216468811,langevin,10,1,20.845853797974996,0.15103384852409363,0.330264151096344,1.0953623056411743,log_sigma,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.16311994194984436,langevin,10,1,20.73731726303231,0.16879688203334808,0.3509935438632965,1.1641138792037964,log_sigma,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.08374129980802536,langevin,10,1,20.70008259708993,0.1448633223772049,0.3688550293445587,1.2233537435531616,log_sigma,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.1181325763463974,dpm,10,1,9.08045408804901,0.15523268282413483,0.41622182726860046,1.3804515600204468,mixture,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.1389119178056717,dpm,10,1,9.06354305089917,0.16149789094924927,0.40291085839271545,1.3363041877746582,mixture,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.15161725878715515,langevin,10,1,20.81578752398491,0.16532869637012482,0.40561142563819885,1.3452608585357666,mixture,langevin_gauss_log_sigma
gauss,uniform_t,"Langevin + Gaussian, uniform t",0.13644050061702728,langevin,10,1,20.820402421057224,0.16075272858142853,0.41557538509368896,1.378307580947876,mixture,langevin_gauss_uniform_t
fnpe,log_sigma,"Langevin + F-NPSE, log σ",0.0765392929315567,langevin,10,1,20.723751542973332,0.09653690457344055,0.3297867178916931,1.0937788486480713,mixture,langevin_fnpe_log_sigma
fnpe,uniform_t,"Langevin + F-NPSE, uniform t",0.0174956526607275,langevin,10,1,20.636270489078015,0.11433923244476318,0.38299357891082764,1.2702460289001465,mixture,langevin_fnpe_uniform_t
gauss,log_sigma,"DPM-2 + Gaussian, log σ",0.02981392666697502,dpm,25,1,21.842693948885426,0.18256469070911407,0.19065921008586884,0.9721750617027283,uniform,dpm_gauss_log_sigma
gauss,uniform_t,"DPM-2 + Gaussian, uniform t",0.03156651183962822,dpm,25,1,21.85008068406023,0.18222098052501678,0.19045472145080566,0.9711323380470276,uniform,dpm_gauss_uniform_t
gauss,log_sigma,"Langevin + Gaussian, log σ",0.05392492562532425,langevin,25,1,50.30873280600645,0.17783613502979279,0.1922348290681839,0.9802091717720032,uniform,langevin_gauss_log_sigma
