training_scheme,variant,variant_label,family,timesteps,model_seed,observation,repeat,runtime_s,runtime_per_sample_ms,mean_error,covariance_error,posterior_error
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,20,0,2,0,0.0561053389683365,0.0748071186244487,0.2620246112346649,0.2599592506885528,0.4845991134643554
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,20,0,2,1,0.0565872740116901,0.0754496986822535,0.2857640981674194,0.247905433177948,0.4479333162307739
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,50,0,2,0,0.1467449649935588,0.1956599533247451,0.2445754706859588,0.2179855406284332,0.3420259952545166
uniform,legacy_time_dpm,Legacy time-space DPM-1,DPM predictor,50,0,2,1,0.143757622980047,0.1916768306400627,0.2764028906822204,0.2086100876331329,0.3574961423873901
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,2,0,0.0156182930222712,0.0208243906963616,0.2896684408187866,0.1187932640314102,0.2928640842437744
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,5,0,2,1,0.0136448370176367,0.0181931160235156,0.283042848110199,0.118629939854145,0.304051399230957
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,2,0,0.0296204730402678,0.0394939640536904,0.1902997195720672,0.2434045970439911,0.2561467289924621
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,10,0,2,1,0.0296924859867431,0.0395899813156574,0.2379728108644485,0.1842685341835022,0.2379310727119445
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,2,0,0.0587650709785521,0.0783534279714028,0.2428076118230819,0.2070468366146087,0.2978063821792602
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,20,0,2,1,0.0594382099807262,0.0792509466409683,0.2663095593452453,0.1957975327968597,0.2879327535629272
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0,2,0,0.1478997300146147,0.1971996400194863,0.2333795875310897,0.1844311505556106,0.2503661513328552
uniform,sigma_uniform_dpm,"Sigma-space DPM-1, uniform t",DPM predictor,50,0,2,1,0.1521887519629672,0.2029183359506229,0.2643395066261291,0.1754404455423355,0.2676341533660888
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0,2,0,0.015651594963856,0.0208687932851413,0.3047704100608825,0.0728005617856979,0.2577345371246338
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,5,0,2,1,0.0144733620109036,0.0192978160145382,0.2987270355224609,0.0732467100024223,0.2474871277809143
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,2,0,0.0305509860045276,0.0407346480060368,0.2001728862524032,0.2278595566749572,0.2741194367408752
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,10,0,2,1,0.030727380013559,0.0409698400180786,0.2464222311973571,0.1706030070781707,0.2455229759216308
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,2,0,0.0624331760336644,0.0832442347115526,0.2477533668279647,0.2034672200679779,0.3266768455505371
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,20,0,2,1,0.0601177589851431,0.0801570119801908,0.2705472409725189,0.1925051510334015,0.3088073134422302
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,2,0,0.1493076889892108,0.1990769186522811,0.2352798879146576,0.1838956624269485,0.2609385251998901
uniform,sigma_log_dpm,"Sigma-space DPM-1, log sigma",DPM predictor,50,0,2,1,0.1520788729540072,0.2027718306053429,0.2660253345966339,0.1750125288963318,0.2776994109153747
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0,2,0,0.106029808986932,0.1413730786492427,0.1897437870502472,0.2132245898246765,0.2504022717475891
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,5,0,2,1,0.1068338019540533,0.1424450692720711,0.2335769087076187,0.1880523711442947,0.2460131645202636
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0,2,0,0.1504375579534098,0.2005834106045464,0.1316571086645126,0.2529908418655395,0.224946916103363
uniform,dpm2_log,"DPM-2 + corrector, log sigma",Overall sampler,10,0,2,1,0.1501588780083693,0.2002118373444924,0.2007051706314087,0.192262053489685,0.2085428237915039
